variable,coef,abs_coef
EdadMa_best_WX,-0.6600785250373005,0.6600785250373005
Bario_ppm_best_WX,0.489042029566644,0.489042029566644
Bismuto_ppm_best_WX,0.40140841430918367,0.40140841430918367
Moho_Z_var_WX,-0.2733499308395941,0.2733499308395941
Moho_Z_best_WX,0.27293277868700555,0.27293277868700555
Moho_Z_var,0.21582487275932535,0.21582487275932535
Moho_Z_best,0.20539473948219972,0.20539473948219972
EdadMa_best,-0.2037322810629999,0.2037322810629999
Cromo_ppm_best_WX,0.20367016420344505,0.20367016420344505
Bismuto_ppm_best,-0.13795853999440644,0.13795853999440644
Mercurio_ppm_best,-0.06832594983748715,0.06832594983748715
Antimonio_ppm_best,0.06417834368289389,0.06417834368289389
Antimonio_ppm_best_WX,0.06187165518572472,0.06187165518572472
Mercurio_ppm_best_WX,0.060879035872055606,0.060879035872055606
Azufre_ppm_best_WX,0.05256477649732834,0.05256477649732834
Bario_ppm_best,0.025811688101790863,0.025811688101790863
Cromo_ppm_best,0.021139233710110346,0.021139233710110346
Plata_ppm_best_WX,-0.011431474015297883,0.011431474015297883
Azufre_ppm_best,-0.0056467980058384215,0.0056467980058384215
Plata_ppm_best,0.005569010251278336,0.005569010251278336
