label,X_proj,Y_proj,EdadMa_best,Moho_Z_best,Moho_Z_var,Bario_ppm_best,Azufre_ppm_best,Cromo_ppm_best,Plata_ppm_best,Bismuto_ppm_best,Mercurio_ppm_best,Antimonio_ppm_best
1,4711243.797111698,2128472.7102239532,74.16409706165247,44.76112214393571,8.73255575559536,477.7121561099368,198.1595238621022,211.46222689254424,0.2433435895876259,0.1263265751262852,6.428673653475369e-05,0.338982248121817
1,4716842.366201522,2147627.5286410516,24.469879894147294,46.62124534815997,8.379027710490995,156.13069241692443,2756.142411657449,626.2537420620278,0.1113057999833165,0.1479299735278017,0.0001192343874641,0.6811670233592367
1,4716062.990371129,2153647.446962193,31.422562568804526,47.03010448494979,7.071767250224156,438.038815550111,1735.0634490372236,1046.9712625853458,0.1425886836524404,0.1153261979742797,0.0042034659071176,1.0857993897767315
1,4717069.1353517575,2155479.8437215807,43.68310408669295,47.27153455533178,6.36213225205364,727.9569274490857,1927.8351582947516,253.89655800012903,0.150558456000889,0.1225273195860101,0.0167125519906826,1.5161819303497184
1,4726681.069524687,2170417.501443012,75.34929720667783,49.48881506056171,3.261512920890908,160.2526635127566,1467.574207269073,201.68487675983687,0.1059683808726348,0.1002128944635452,0.004635347456112,0.1344170875537379
1,4723147.153206548,2238660.876121764,398.9150012202239,52.4827819387451,7.703717387234072,359.4180531545541,320.2683556141243,463.1443627648625,1.5480942279840637,0.2498086553282249,0.0309184468974446,0.8543382344140052
1,4724670.093421465,2238885.1428972427,625.3473494386635,52.609475999392025,7.771634874191563,328.67651874637284,332.54703033885863,402.31874478096057,1.8273011713588576,0.2854746104539383,0.0322360788116929,0.8577165344036585
1,4722561.269402969,2241189.958651047,303.3018192694772,52.14094012728339,8.248186563074196,282.8030261901051,218.82049169228324,749.1828752299556,1.5585623183195934,0.25928428456056,0.0310894227037455,0.5728904478110765
1,4722567.296159009,2241294.341651104,315.1203594937223,52.13021680021906,8.26720567885651,283.9137100917152,218.28049570652811,761.9707169088589,1.560663138390732,0.2571066755302517,0.0310750423482168,0.5718530499018639
1,4721832.757948242,2242098.4844761956,399.56025601265264,51.96232262749258,8.416702093374546,286.00338950459,166.05085252372243,1080.602524782953,1.4351506132296448,0.2106458694369403,0.0318765717961839,0.5658592462864134
