IG_EST,IG_DEP,IG_MUN,IG_POB,IG_LAT_W84,IG_LON_W84,D_PR_PAL1,D_MI_PAL1,D_CLAS_DEP,R_RO_HUES,EdadMa_best,Moho_Z_best,Moho_Z_var,Bario_ppm_best,Azufre_ppm_best,Cromo_ppm_best,Plata_ppm_best,Bismuto_ppm_best,Mercurio_ppm_best,Antimonio_ppm_best,X,Y
Productor pasado - Cielo abierto,Antioquia,Medellín,Medellín,6.196714,-75.52684,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,395.26643922609617,51.66858653114393,8.641456936521847,259.44561006314837,109.16345444468345,1936.1931901414787,1.1466960199969152,0.16900689727669227,0.03295423917380725,0.4633663861678391,-75.52684,6.196714
Ocurrencia,Antioquia,Medellín,Medellín,6.272201,-75.532875,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,208.11443800895518,50.75246383051653,8.979520670080241,227.9915209049742,45.6846684560155,669.0792251531158,1.6948260135240902,0.1686209741413067,0.05054374665278871,0.3273228220545385,-75.532875,6.272201
Productor pasado - Cielo abierto,Antioquia,Bello,Bello,6.396567,-75.56212,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,113.14575200722194,49.152723550538056,6.674526334432795,372.8967477774113,254.38804248622705,244.8382804533198,1.939223168534621,0.10073081377812225,0.05909649050261297,0.2937862057577808,-75.56212,6.396567
Productor pasado - Cielo abierto,Antioquia,Bello,Bello,6.396794,-75.562035,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,112.69676874691696,49.151740390574226,6.665575781730937,361.8127363132917,254.45872300845235,259.7782367583554,1.9382892046591917,0.10095233798454241,0.05909173556597503,0.2938988392282432,-75.562035,6.396794
Productor pasado - Cielo abierto,Antioquia,Bello,Bello,6.396983,-75.56202,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,112.19066264905031,49.15019947846813,6.659223513631314,361.3414933613958,254.51816899299388,260.6995090812097,1.9363493218894456,0.10109794321503536,0.05806783069067591,0.2939936499642054,-75.56202,6.396983
Productor pasado - Cielo abierto,Antioquia,Bello,Bello,6.398262,-75.56398,Cromo-Cr,Cromita-Fe+2Cr2O4,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,104.1242194992794,49.11301140591919,6.658123620405025,398.84484821490395,254.91915821540414,230.2430475640363,1.842150973584895,0.10054366733013091,0.0619232660712248,0.2946950003096171,-75.56398,6.398262
Productor - Cielo abierto,Antioquia,Yarumal,Yarumal,6.996571,-75.381958,Talco-Mg3Si4O10(OH)2,Talco-Mg3Si4O10(OH)2,Asociado_a_magmas_máficos_básicos,ROCA_ÍGNEA_PLUTÓNICA,138.1262165758804,44.77726206153418,6.550204051199126,314.9696520215241,286.27451756916616,445.7222518021164,0.1256390541184852,0.10836374426897318,0.04524773345927458,0.36704510830009873,-75.381958,6.996571
Ocurrencia,Caldas,Neira,Anserma,5.2514,-75.6833,Uranio-U,<Nulo>,Depósitos_Uranio,ROCA_ÍGNEA_PLUTÓNICA,68.63509691877675,44.81189220455589,10.168893203060204,1450.3736059289668,160.77974069440586,245.50251148387903,0.9328684748543896,0.24433654032382993,0.00015785423311971382,0.559345454338823,-75.6833,5.2514
Prospecto desarrollado,Caldas,Samaná,Norcasia,5.5856,-74.9661,Uranio-U,Uraninita-UO2,Depósitos_Uranio,ROCA_SEDIMENTARIA,94.50070878370046,52.53457395926299,5.686595247706504,1104.6338424395096,169.60759735250136,148.0820955395321,0.13774329374921204,0.2220084529297857,5.014107131492966e-05,1.1830881678075902,-74.9661,5.5856
Productor pasado - Subterráneo,Caldas,Villamaría,La Enea,4.939749,-75.420014,Oro-Au,Oro-Au,Epitermal,ROCA_ÍGNEA_VOLCÁNICA,18.841276126239062,44.49638861063899,7.0393485269478155,1041.9427780537744,4189.755717780043,211.88713694841655,0.09562952118149184,0.2185936323265876,1.0440402576314862,19.452066270939284,-75.420014,4.939749
