variable,beta,std_error,z,p_value,sign
EdadMa_best,-1.0010122096870195,0.13704078922201804,-7.30448368963559,2.7844393457598926e-13,-1.0
rho,0.8683908698023002,0.16933688656275053,5.128184930224897,2.9254899769348697e-07,1.0
Bario_ppm_best,0.4508893392670549,0.10706488828757449,4.211365149478079,2.5383206140316972e-05,1.0
Moho_Z_best,0.40793162555252455,0.1069495476020413,3.8142435821274905,0.00013660068577592277,1.0
Bismuto_ppm_best,0.1579860480403393,0.04998226546283912,3.160842082234127,0.001573137616256881,1.0
Cromo_ppm_best,0.15929817324336928,0.05875559268968769,2.7112001760358044,0.006704014013711346,1.0
Antimonio_ppm_best,-0.04819341122264358,0.02583037222420503,-1.86576526285915,0.06207421432146787,-1.0
Mercurio_ppm_best,0.03384360661621713,0.02550298717017337,1.3270448042180096,0.18449386208610874,1.0
Moho_Z_var,-0.1132117476600816,0.09319655847079354,-1.2147631792171867,0.22445642807045108,-1.0
Azufre_ppm_best,-0.005880290930807283,0.030396513231882135,-0.1934528110493803,0.8466043592407126,-1.0
Plata_ppm_best,-0.003657673232334684,,,,-1.0
