variable,method,p,k,radius,rmse,mae,r2,variogram_model
EdadMa_best,IDW,2.0,24.0,,280.0482791140777,97.57728523218277,0.08185620739174726,
Moho_Z_best,OK,,,,1.580400985297076,1.1011512471493994,0.939127473320294,spherical
Bario_ppm_best,IDW,2.0,24.0,,594.9564085466885,254.84509230663585,0.3071666350982267,
Azufre_ppm_best,IDW,2.0,24.0,,2763.4951334292878,594.3919004219388,-0.12557874473839337,
Cromo_ppm_best,IDW,2.0,24.0,,274.8825897395448,78.98459536318646,0.09732306049513273,
Plata_ppm_best,IDW,2.0,12.0,,165.0256435084081,13.725488846331574,0.10005950883744308,
Bismuto_ppm_best,IDW,2.0,24.0,,0.9670046788677972,0.1291962996331812,-0.37350497838246555,
Mercurio_ppm_best,IDW,2.0,24.0,,0.538659857377787,0.07193281847264546,-0.1500206275232645,
Antimonio_ppm_best,IDW,2.0,24.0,,6.6705636952426905,1.1095134041737615,0.34341098713409,
