Pseudo-R2,Valor_BASE,Valor_SLX
McFadden,0.23847097110164095,0.3357564400503922
McFadden_ajustado,0.16290123086460007,0.1914869359614958
Cox_Snell,0.28150099804317885,0.37215204992965545
Nagelkerke,0.3753346640575718,0.4962027332395406
Tjur,0.24778180647402037,0.336583862828519
Efron,0.2904035108470765,0.3987698424067694
LogLik_Modelo,-110.84885685204463,-96.68789566467605
LogLik_Nulo,-145.5609079175885,-145.5609079175885
