Pseudo-R2,Valor
McFadden,0.3357564400503922
McFadden_ajustado,0.1914869359614958
Cox_Snell,0.37215204992965545
Nagelkerke,0.4962027332395406
Tjur,0.336583862828519
Efron,0.3987698424067694
LogLik_Modelo,-96.68789566467605
LogLik_Nulo,-145.5609079175885
