Pseudo-R2 / LL,Valor
McFadden,0.07122620092418885
McFadden_ajustado,0.05611225287678068
Cox_Snell,0.09402220376394677
Nagelkerke,0.12536293835192902
Tjur,0.08537575411887233
Efron,0.09081696510329718
LogLik_Modelo,-675.9657872177149
LogLik_Nulo,-727.8045395879425
