Pseudo-R2 / LL,Valor
McFadden,0.23847097110164095
McFadden_ajustado,0.16290123086460007
Cox_Snell,0.28150099804317885
Nagelkerke,0.3753346640575718
Tjur,0.24778180647402037
Efron,0.2904035108470765
ll_model,-110.84885685204463
ll_null,-145.5609079175885
